,address,has_ens,ens_count,has_defi_transactions,count_defi_transactions,had_activity_before_december_2022,count_activity_before_december_2022,had_activity_after_december_2022,count_activity_after_december_2022
182,0xfa95a0de20633db5a8525b21b4cd44fadaeb4149,NO,0,NO,0,no,0,no,0
192,0x3566f24a6cc23aa083e85b804e756adf1baf7325,NO,0,NO,0,no,0,no,0
195,0xe2c13e9332d3205927ab13277b4658e1816284e5,NO,0,NO,0,no,0,no,0
260,0x83aaae055d63fc3d90ec8bfb97acf99bca658424,NO,0,NO,0,no,0,no,0
293,0x2f44c1b5a8aba442bea7b2aa552f1cafc397bfea,NO,0,NO,0,no,0,no,0
324,0x3acab6dffc3dfe377eacb1f844f8651bedcda9eb,NO,0,NO,0,no,0,no,0
331,0xf39d6569b3de0136df48a4048d949e88e3302533,NO,0,NO,0,no,0,no,0
365,0x7beff6352de30452fd97712dde33e59c45672391,NO,0,NO,0,no,0,no,0
394,0x7a2ee6f7c968dfd32c22766bbc27bbd593df68e0,NO,0,NO,0,no,0,no,0
402,0x6339a04b1b2bba359964bbcd971bd19c8e97c7ea,NO,0,NO,0,no,0,no,0
416,0xbd43e69c28fb5fccdab9f02201427866d872b0a8,NO,0,NO,0,no,0,no,0
431,0xbd9c0c4a3e6c98a9315c70a019acd2d1cb4a8a43,NO,0,NO,0,no,0,no,0
537,0x1a04cecd6061ada763c39f9a16e6b8622690656f,NO,0,NO,0,no,0,no,0
568,0xf49b8ddbf6f0b28c3e6cc3ca5d212e2eb0f2f178,NO,0,NO,0,no,0,no,0
598,0x3126acc9279d03182efc38fbcb14971508fe9de1,NO,0,NO,0,no,0,no,0
626,0xd8365e4b2f52205139bdc52c93ffcf83f88fe300,NO,0,NO,0,no,0,no,0
651,0xb7a0c592805ebb545a31f86a1fda303b6167ec82,NO,0,NO,0,no,0,no,0
686,0x1b727ea05c2eca44b5853bbb93bd5814fd19daf7,NO,0,NO,0,no,0,no,0
713,0xe2f3f189c7473c1b7b831bf5cfe3d7b70f6c3230,NO,0,NO,0,no,0,no,0
725,0xafdc9fddb656bd25ae7cafc68f7778543e4572cf,NO,0,NO,0,no,0,no,0
733,0x5ab64ac793a7e0ec2b8ec2f3a1481eba2892f7b4,NO,0,NO,0,no,0,no,0
745,0x785badbf1399e2443033e16c6dd4afd3d00fc593,NO,0,NO,0,no,0,no,0
750,0xdc9c454a9c3f90e464bfbe3c0561384f4b5878d8,NO,0,NO,0,no,0,no,0
754,0x8efa340f80bc3a7417836ee4c1ad0d614f0f9855,NO,0,NO,0,no,0,no,0
777,0x23feaeb78d4e0fc431b66a73e0fd0a632187467c,NO,0,NO,0,no,0,no,0
812,0x1244cec4958f5e7e8b58f94fa541271d9d587dc5,NO,0,NO,0,no,0,no,0
829,0x89ba683eb87bc7c149730a5da007455aa4e15022,NO,0,NO,0,no,0,no,0
1094,0x3f7b51ce80a1be7024d19fae4779474332efb2e5,NO,0,NO,0,no,0,no,0
1114,0xe1b56523dcbb93e894c20ba9e368d3357b845d1c,NO,0,NO,0,no,0,no,0
1129,0x3fafab68bac2f4099c5cec7278f70c0f1535a7a3,NO,0,NO,0,no,0,no,0
1130,0xbddf0987e8629077f0c39c0d42fc2be7aaa4c8e8,NO,0,NO,0,no,0,no,0
1140,0x5dbfb308f772080435144225b1867ff4fb6ec7a5,NO,0,NO,0,no,0,no,0
1184,0x5122895e91e28028c7c184c86e204ca70ed9ecf7,NO,0,NO,0,no,0,no,0
1269,0x0a619983d7e4818118b199398efd69d501107e50,NO,0,NO,0,no,0,no,0
1275,0xdc6c1c86c344085400f621cdba5a1192c0f11d4b,NO,0,NO,0,no,0,no,0
1303,0xd2c9c95fe962c49f5159b3551848a08243f663c9,NO,0,NO,0,no,0,no,0
1360,0xcd44e555a3a4e95508d92e95157b25e7ae5d2eb9,NO,0,NO,0,no,0,no,0
1387,0x89710322fc29c2c9e532406d0aab5b21687b20f5,NO,0,NO,0,no,0,no,0
1421,0x9e5781ed4749b279310db5e2e1941f83e9a08c9c,NO,0,NO,0,no,0,no,0
1426,0x84d115c4fe3e50be65587dedff8e80e53a092fb2,NO,0,NO,0,no,0,no,0
1593,0xcfc4f8ca7a08e344fae0453b4ab72cbdc50ea9bf,NO,0,NO,0,no,0,no,0
1598,0x1297909d5978928143f84ccfc5bdf16bc665f86b,NO,0,NO,0,no,0,no,0
1626,0xa5c2a2406d8644c679e27acafe9a6ca1ce732297,NO,0,NO,0,no,0,no,0
